snapped_at,price,market_cap,total_volume
2017-02-21 00:00:00 UTC,1466.980474614446,23726832172.878452,204877284.95232618
2017-02-22 00:00:00 UTC,1458.9529999999997,23596996400.524998,128935560.28476322
2017-02-23 00:00:00 UTC,1536.5437854699717,24851943945.407413,171419586.77240172
2017-02-24 00:00:00 UTC,1539.8276999999996,24917299362.937492,395684822.5854555
2017-02-25 00:00:00 UTC,1497.277104211458,24231838326.10067,153957042.69036207
2017-02-26 00:00:00 UTC,1538.6646,24905228345.7252,116446493.8817235
2017-02-27 00:00:00 UTC,1554.7257239599055,25167957544.31474,114022263.63589437
2017-02-28 00:00:00 UTC,1555.5817,25184769721.352898,182769518.5095863
2017-03-01 00:00:00 UTC,1597.91311151976,25873009623.450073,137452004.82824022
2017-03-02 00:00:00 UTC,1666.6841000000002,26989843977.4817,230201902.3787624
2017-03-03 00:00:00 UTC,1697.5346116915675,27492569489.162,200728728.9933611
2017-03-04 00:00:00 UTC,1670.3731324957068,27055387746.13705,160122372.54027358
2017-03-05 00:00:00 UTC,1682.3444,27252507228.65,81847956.4836955
2017-03-06 00:00:00 UTC,1690.3661,27385367631.184998,86079324.17951803
2017-03-07 00:00:00 UTC,1625.0707255815198,26330634199.764675,282001064.7983148
2017-03-08 00:00:00 UTC,1528.1595,24763175229.712498,330421463.2224255
2017-03-09 00:00:00 UTC,1588.2354610274517,25739598234.420826,199325048.62189972
2017-03-10 00:00:00 UTC,1457.7823761942473,23628246977.18803,552741866.9699308
2017-03-11 00:00:00 UTC,1565.9611216387252,25384503824.960022,224143527.55072522
2017-03-12 00:00:00 UTC,1632.8768999999995,26472445234.33499,138815543.83367974
2017-03-13 00:00:00 UTC,1643.3845696290634,26645692794.123505,173693246.86731547
2017-03-14 00:00:00 UTC,1649.0112836654944,26740202074.79129,114833301.31239712
2017-03-15 00:00:00 UTC,1633.6723000000002,26494386021.970104,94458921.42123261
2017-03-16 00:00:00 UTC,1586.5531148012344,25732244679.942856,179327932.8408803
2017-03-17 00:00:00 UTC,1393.763262820054,22608947492.99466,368509097.4089113
2017-03-18 00:00:00 UTC,1251.0075000000004,20295720176.250008,445913716.55728734
2017-03-19 00:00:00 UTC,1329.0778977081525,21565019883.158516,230351806.23992482
2017-03-20 00:00:00 UTC,1340.8841153131532,21758861760.215366,131943878.61149466
2017-03-21 00:00:00 UTC,1446.263698674969,23471467077.55292,194986888.7939387
2017-03-22 00:00:00 UTC,1355.5220314934672,22001478093.170467,246179864.9867104
2017-03-23 00:00:00 UTC,1348.890170873482,21896314274.69138,107541176.15705529
2017-03-24 00:00:00 UTC,1234.2131841972096,20037527566.65912,212439994.69869477
2017-03-25 00:00:00 UTC,1266.0706083973105,20556871950.89503,249801337.56104484
2017-03-26 00:00:00 UTC,1251.040537991102,20315365812.316456,171035042.22312346
2017-03-27 00:00:00 UTC,1368.0610671329252,22217943774.45172,181455948.78760517
2017-03-28 00:00:00 UTC,1368.2629999999995,22223874951.199993,167173622.00886247
2017-03-29 00:00:00 UTC,1354.9644149801134,22010143579.268085,158075346.40310726
2017-03-30 00:00:00 UTC,1349.1868447049137,21919159316.44497,133989432.15324835
2017-03-31 00:00:00 UTC,1413.4059666374721,22964719090.454754,174713192.29098022
2017-04-01 00:00:00 UTC,1422.2565000000004,23110974063.828007,114999557.74251646
2017-04-02 00:00:00 UTC,1437.5872000000004,,105038837.81919858
2017-04-03 00:00:00 UTC,1498.0958365536696,24349505918.55468,173260350.832743
2017-04-04 00:00:00 UTC,1507.218004890651,24500185880.16469,143021446.72108078
2017-04-05 00:00:00 UTC,1495.7910940304039,24317449763.42578,115505427.58154465
2017-04-06 00:00:00 UTC,1583.8128000000002,25751370696.480003,170169154.04846987
2017-04-07 00:00:00 UTC,1586.3569599631974,25795909161.65755,121119491.6938549
2017-04-08 00:00:00 UTC,1576.3608,25636138152.609596,58532868.47170663
2017-04-09 00:00:00 UTC,1583.6553999999999,25755838193.1498,54870533.062505834
2017-04-10 00:00:00 UTC,1611.3808,26211767490.32,101234483.84979145
2017-04-11 00:00:00 UTC,1634.8377,26596785449.9274,105157584.27098703
2017-04-12 00:00:00 UTC,1617.9145,26324237424.3875,110986365.55682519
2017-04-13 00:00:00 UTC,1551.2722,25242474980.8864,173589585.2619207
2017-04-14 00:00:00 UTC,1561.3435,25409069917.475,122529584.45609507
2017-04-15 00:00:00 UTC,1558.0987,25359126756.3069,70392633.85641335
2017-04-16 00:00:00 UTC,1564.4525,25465433453.4925,47863406.06111844
2017-04-17 00:00:00 UTC,1588.5749,25860887369.57,109907933.68768549
2017-04-18 00:00:00 UTC,1611.7151,26240414128.855,112548980.89032854
2017-04-19 00:00:00 UTC,1633.1451,26592338348.79,95058195.3628454
2017-04-20 00:00:00 UTC,1666.4153,27136968251.7461,149478870.230932
2017-04-21 00:00:00 UTC,1663.6066,27094598395.1692,121315034.6399044
2017-04-22 00:00:00 UTC,1656.6922,26985030899.7,111440309.79033887
2017-04-23 00:00:00 UTC,1650.2743,26883628456.72,111646702.6860836
2017-04-24 00:00:00 UTC,1651.2585,26902262200.5375,93153322.34070157
2017-04-25 00:00:00 UTC,1674.6523,27286491512.0475,123330155.62019181
2017-04-26 00:00:00 UTC,1721.9477,28060234652.1849,163076107.4532366
2017-04-27 00:00:00 UTC,1782.5755,29051613340.025,180751208.68994954
2017-04-28 00:00:00 UTC,1764.4296,28758812109.4752,215568620.8175701
2017-04-29 00:00:00 UTC,1772.6715,28897048462.158,115251736.34866835
2017-04-30 00:00:00 UTC,1803.8362,29408482719.46,115251108.03293115
2017-05-01 00:00:00 UTC,1871.7719,30519287623.7975,289395055.1706178
2017-05-02 00:00:00 UTC,1912.9087,31194136929.9225,250891555.01429704
2017-05-03 00:00:00 UTC,2000.8238,32631085210.035,277610815.5929973
2017-05-04 00:00:00 UTC,2023.2274,33000659798.66,452070489.2065797
2017-05-05 00:00:00 UTC,2027.7032,33076983475.0184,436649809.2731635
2017-05-06 00:00:00 UTC,2087.7562,34061036741.4044,182777701.5632024
2017-05-07 00:00:00 UTC,2102.3137,34302874506.6325,202230388.0298061
2017-05-08 00:00:00 UTC,2213.2235,36117538965.9125,374175264.06960106
2017-05-09 00:00:00 UTC,2313.7002,37761639516.0774,522464075.13814116
2017-05-10 00:00:00 UTC,2374.8455,38764037883.271,392200507.48543304
2017-05-11 00:00:00 UTC,2453.4429,40051012718.0748,425034882.61786497
2017-05-12 00:00:00 UTC,2303.6334,37610010394.5258,335934492.6198624
2017-05-13 00:00:00 UTC,2372.6535,38741426615.892,334141470.6213595
2017-05-14 00:00:00 UTC,2392.889,39076834525.6,169179581.76150486
2017-05-15 00:00:00 UTC,2286.005,37336119512.375,311389953.32176495
2017-05-16 00:00:00 UTC,2310.916,37746934085.292,293800242.0214637
2017-05-17 00:00:00 UTC,2427.0557,39648714421.8309,365387878.5476152
2017-05-18 00:00:00 UTC,2547.9811,41627990294.6607,310354599.18512356
2017-05-19 00:00:00 UTC,2646.0569,43236403044.4153,375333284.8372679
2017-05-20 00:00:00 UTC,2740.3661,44782994297.0475,367718694.6913774
2017-05-21 00:00:00 UTC,2754.4675,45018292395.0475,354693022.340678
2017-05-22 00:00:00 UTC,2818.1571,46064609601.615,774922194.3954617
2017-05-23 00:00:00 UTC,3066.0907,50122151195.575,520757456.99543417
2017-05-24 00:00:00 UTC,3264.4241,53370924890.0142,740089036.3203018
2017-05-25 00:00:00 UTC,3174.8747,51914598631.99,1193497837.6712568
2017-05-26 00:00:00 UTC,3039.8275,49712350991.0625,962071280.2754678
2017-05-27 00:00:00 UTC,2795.541,45723029933.7,916865814.9864652
2017-05-28 00:00:00 UTC,2983.0611,48796316861.58,540118317.5212815
2017-05-29 00:00:00 UTC,3073.1465,50275754796.05,419878155.55900663
2017-05-30 00:00:00 UTC,2905.6723,47542392247.1775,450059371.401063
2017-05-31 00:00:00 UTC,3136.9225,51332599790.0,560762414.2337091
2017-06-01 00:00:00 UTC,3304.1334,54075817287.3408,594879782.6217642
2017-06-02 00:00:00 UTC,3378.8829,55305342437.5773,393489855.3448459
2017-06-03 00:00:00 UTC,3442.7375,56358817833.125,409499966.6363695
2017-06-04 00:00:00 UTC,3438.1346,56289954509.1002,342238723.62196964
2017-06-05 00:00:00 UTC,3635.2512,59524966368.0,446682915.19071215
2017-06-06 23:29:55 UTC,3863.4027,63268094826.7074,1612194485.2344682
2017-06-07 00:00:00 UTC,3598.6638,58939995315.54,951229288.0207036
2017-06-08 23:39:21 UTC,3746.199,61364002089.063,770594923.3757778
2017-06-09 00:00:00 UTC,3741.3272,61291451055.38,522220134.1156795
2017-06-10 00:00:00 UTC,3902.0372,63931172586.66,471166596.36439025
2017-06-11 00:00:00 UTC,4001.3128,65565111409.52,464957778.21304274
2017-06-12 00:00:00 UTC,3586.0797,58767687951.6825,1052007452.7423865
2017-06-13 00:00:00 UTC,3629.2292,59481161242.67,543928321.9725171
2017-06-14 00:00:00 UTC,3297.11215674214,54043664348.937645,744762417.7344353
2017-06-15 00:00:00 UTC,3222.48072568156,52826487453.93909,1114820144.0554953
2017-06-16 00:00:00 UTC,3299.39116414796,54093518136.2058,531147729.77902305
2017-06-17 00:00:00 UTC,3520.80266623608,57729897157.73975,507365676.1328308
2017-06-18 00:00:00 UTC,3381.69838472019,55455075169.593506,420464509.77001405
2017-06-19 00:00:00 UTC,3448.89085125063,56563534405.93596,405076677.7141885
2017-06-20 00:00:00 UTC,3664.37518200806,60103906219.71215,609085670.5563067
2017-06-21 00:00:00 UTC,3597.73325032541,59017036351.67551,592038540.2569054
2017-06-22 00:00:00 UTC,3614.07831764457,59291347320.80545,363164162.15014976
2017-06-23 00:00:00 UTC,3617.05282785621,59347698536.25773,248092886.43072414
2017-06-24 00:00:00 UTC,3459.34745454914,56765857632.848114,415589707.9052245
2017-06-25 00:00:00 UTC,3446.79456961648,56565559383.23937,423211325.6551864
2017-06-26 00:00:00 UTC,3282.00772370798,53866526116.70887,712327841.7591828
2017-06-27 00:00:00 UTC,3336.38885817038,54765154912.437706,683707609.3976425
2017-06-28 00:00:00 UTC,3372.10823747897,55358002437.75455,459846372.8575005
2017-06-29 00:00:00 UTC,3333.76197218719,54733203995.073456,312143853.01749635
2017-06-30 00:00:00 UTC,3238.97334501623,53183294530.49749,273228183.41996783
2017-07-01 00:00:00 UTC,3173.13058734695,52108791941.65524,269938066.2156508
2017-07-02 00:00:00 UTC,3274.16732915739,53775700191.73798,294824713.2124273
2017-07-03 00:00:00 UTC,3363.70000093709,55253353874.79298,397630849.2292493
2017-07-04 00:00:00 UTC,3431.98659715573,56381705414.05348,361338957.7704495
2017-07-05 00:00:00 UTC,3427.11937764971,56308040890.13947,313253106.2951716
2017-07-06 00:00:00 UTC,3445.52705675831,56616728320.29971,231268425.91379803
2017-07-07 00:00:00 UTC,3299.63449200026,54225615805.49617,342836269.4188782
2017-07-08 00:00:00 UTC,3370.8507303447,55402712705.06768,234327667.95766905
2017-07-09 00:00:00 UTC,3314.88449371858,54488662481.83619,155106391.3621467
2017-07-10 00:00:00 UTC,3107.55750865539,51088360421.92243,509540723.0475843
2017-07-11 00:00:00 UTC,3081.99406006263,50674799718.2905,550845884.9266701
2017-07-12 00:00:00 UTC,3109.25001263315,51129710487.49441,410039420.7258294
2017-07-13 00:00:00 UTC,3057.71994930306,50288408931.21912,301387014.75675106
2017-07-14 00:00:00 UTC,2846.75974218925,46823823076.61991,408881539.73175883
2017-07-15 00:00:00 UTC,2597.1267733263,42721987448.70692,592594314.5574868
2017-07-16 00:00:00 UTC,2463.37990199855,40526910302.70464,614562960.4579165
2017-07-17 00:00:00 UTC,2798.95431631271,46052874738.882805,635386910.6366547
2017-07-18 00:00:00 UTC,2911.72448410653,47914173420.663414,921736568.3227963
2017-07-19 00:00:00 UTC,2858.86696146942,47049874490.057014,726013322.0882735
2017-07-20 00:00:00 UTC,3479.38219295046,57268891204.868095,1607114430.6521971
2017-07-21 00:00:00 UTC,3359.54885597673,55303045515.21814,1082727370.3696828
2017-07-22 00:00:00 UTC,3541.44752535338,58304444261.279106,797859154.3449051
2017-07-23 00:00:00 UTC,3451.10577136039,56824568602.18089,673232760.260392
2017-07-24 00:00:00 UTC,3467.25858328734,57098249186.42684,449855246.37169546
2017-07-25 00:00:00 UTC,3229.30710382787,53185515761.56633,999347528.789459
2017-07-26 00:00:00 UTC,3134.44772649297,51629014979.10851,728857009.76907
2017-07-27 00:00:00 UTC,3323.66304968009,54752153858.132835,549951388.329506
2017-07-28 00:00:00 UTC,3504.23225928175,57733319792.13173,1563536699.2946026
2017-07-29 00:00:00 UTC,3406.0875721926,56122997321.96139,1079833408.503173
2017-07-30 00:00:00 UTC,3430.01097372392,56523493837.09385,467097078.8595965
2017-07-31 00:00:00 UTC,3589.80152086764,59162933727.771675,547747619.5662133
2017-08-01 00:00:00 UTC,3439.45812794382,56691941704.76993,936448688.0757583
2017-08-02 00:00:00 UTC,3387.30558534122,55838631700.034775,518035549.823647
2017-08-03 00:00:00 UTC,3491.11546260625,57555967856.09723,426250159.55499154
2017-08-04 00:00:00 UTC,3588.99506214598,59177773156.329865,464190568.43222433
2017-08-05 00:00:00 UTC,4082.30869769241,67320891432.762695,1344679463.037283
2017-08-06 00:00:00 UTC,4020.69284464521,66311827575.23084,616918434.3329295
2017-08-07 00:00:00 UTC,4244.96898239895,70018853128.6286,879603897.9810444
2017-08-08 00:00:00 UTC,4311.14994669575,71119152386.96313,1015097563.2770765
2017-08-09 00:00:00 UTC,4220.54066365464,69631902191.1779,809571191.1637117
2017-08-10 00:00:00 UTC,4282.97538447623,70669093843.85779,539970263.691245
2017-08-11 00:00:00 UTC,4513.60262649795,74482396305.04407,812530235.2197506
2017-08-12 00:00:00 UTC,4813.35311922088,79436749627.9873,1252008246.5611603
2017-08-13 00:00:00 UTC,5098.79115346605,84157138810.79704,1963754183.2125616
2017-08-14 00:00:00 UTC,5315.28011761246,87738861156.77853,1386994839.9192722
2017-08-15 00:00:00 UTC,5304.90369683495,87577726772.90125,2439930202.341847
2017-08-16 00:00:00 UTC,5379.44723338837,88816890155.50215,2215740640.549147
2017-08-17 00:00:00 UTC,5410.1884014465,89324439505.50311,2239138150.37954
2017-08-18 00:00:00 UTC,5167.64893310088,85341525879.36447,1910674918.3821082
